Case Type,Petitioner,Defendant,Evidence Volume,No. of Parties,Case Complexity,Legal Precedence,First Trail,Last Trail,Completed Days,Outcome
 Intellectual Property  , Kapoor Designs      , Deshmukh Innovations, Medium           , 2               , Medium           , Mehra v. Gupta   , 2024-07-15 , 2024-10-10 , 87              , Lost       
 Contractual Dispute     , Sharma Enterprises  , Patel Holdings      , Medium           , 2               , Medium           , None             , 2024-08-20 , 2024-10-05 , 47              , Lost       
 Real Estate Dispute     , Chauhan Developers  , Kapoor Estates      , High             , 3               , High             , Tiwari v. Yadav  , 2024-09-25 , 2024-12-30 , 97              , Won        
 Business Reports        , Joshi Insights      , Nair Analytics      , Low              , 1               , Low              , None             , 2024-11-01 , 2024-12-15 , 45              , Won        
 Product Liability       , Desai Devices Inc.  , Safety Solutions Co., Medium           , 2               , Medium           , Mehra v. Lee    , 2025-01-05 , 2025-03-20 , 76              , Lost       
 Intellectual Property  , Khanna Creations     , Innovate India      , High             , 4               , High             , Gupta v. Kumar  , 2025-02-10 , 2025-05-15 , 95              , Won        
 Contractual Dispute     , Joshi Ltd.          , Desai Corp.         , Low              , 1               , Low              , None             , 2025-03-20 , 2025-05-05 , 47              , Won        
 Business Reports        , Kapoor Trends       , Gupta Analytics    , High             , 3               , High             , Singh v. Lee     , 2025-04-25 , 2025-06-10 , 46              , Lost       
 Real Estate Dispute     , Mehta Properties    , Khan Estates        , Medium           , 2               , Medium           , Mehra v. Singh  , 2025-05-30 , 2025-07-15 , 46              , Won        
 Contractual Dispute     , Sharma Enterprises  , Patel Constructions , High             , 2               , Medium           , None             , 2023-06-01 , 2023-07-15 , 44              , Won        
 Intellectual Property  , Kapoor Innovations  , Singh Creations     , Medium           , 3               , High             , Gupta v. Reddy   , 2023-07-10 , 2023-09-20 , 72              , Lost       
 Real Estate Dispute     , Patel Realty        , Khan Properties     , High             , 4               , Low              , Patel v. Singh   , 2023-08-05 , 2023-11-10 , 98              , Won        
 Business Reports        , Mehta Trends        , Kapoor Analytics    , Low              , 2               , High             , None             , 2023-09-15 , 2023-10-20 , 35              , Won        
 Product Liability       , Nair Gadgets Inc.   , Menon Safety        , High             , 3               , Low              , Agarwal v. Yadav , 2023-10-20 , 2024-01-10 , 82              , Lost       
 Real Estate Dispute     , Chauhan Developers  , Khanna Estates      , High             , 0               , Medium           , Mehra v. Kumar   , 2024-01-01 , 2024-03-28 , 87              , Lost       
 Intellectual Property  , Joshi Innovations   , Kapoor Technologies , Medium           , 2               , Medium           , None             , 2024-02-10 , 2024-03-20 , 38              , Won        
 Contractual Dispute     , Reddy Corporation   , Verma Ltd.          , Low              , 1               , Low              , None             , 2024-03-15 , 2024-04-30 , 46              , Won        
 Business Reports        , Gupta Strategies    , Agarwal Analytics   , Medium           , 2               , Medium           , Singh v. Tiwari  , 2024-04-01 , 2024-06-15 , 75              , Lost       
 Real Estate Dispute     , Khan Homes Inc.     , Deshmukh Properties , Medium           , 2               , Medium           , Yadav v. Sharma  , 2024-05-05 , 2024-07-20 , 76              , Won        
 Product Liability       , Raj Products Ltd.   , Consumer Care Inc.  , Low              , 0               , Low              , None             , 2024-06-10 , 2024-07-25 , 46              , Won        
 Intellectual Property  , Kapoor Designs      , Deshmukh Innovations, High             , 4               , High             , None             , 2024-07-15 , 2024-10-10 , 87              , Lost       
 Contractual Dispute     , Sharma Enterprises  , Patel Holdings      , Medium           , 2               , Medium           , None             , 2024-08-20 , 2024-10-05 , 47              , Lost       
 Real Estate Dispute     , Chauhan Developers  , Kapoor Estates      , High             , 3               , High             , Tiwari v. Yadav  , 2024-09-25 , 2024-12-30 , 97              , Won        
 Business Reports        , Joshi Insights      , Nair Analytics      , Low              , 1               , Low              , None             , 2024-11-01 , 2024-12-15 , 45              , Won        
 Product Liability       , Desai Devices Inc.  , Safety Solutions Co., Medium           , 2               , Medium           , Mehra v. Lee    , 2025-01-05 , 2025-03-20 , 76              , Lost       
 Intellectual Property  , Khanna Creations     , Innovate India      , High             , 4               , High             , None             , 2025-02-10 , 2025-05-15 , 95              , Won        
 Contractual Dispute     , Joshi Ltd.          , Desai Corp.         , Low              , 1               , Low              , None             , 2025-03-20 , 2025-05-05 , 47              , Won        
 Business Reports        , Kapoor Trends       , Gupta Analytics    , High             , 3               , High             , Singh v. Lee     , 2025-04-25 , 2025-06-10 , 46              , Lost       
 Real Estate Dispute     , Mehta Properties    , Khan Estates        , Medium           , 2               , Medium           , Mehra v. Singh  , 2025-05-30 , 2025-07-15 , 46              , Won        
 Contractual Dispute     , Singh Holdings      , Desai Constructions , Low              , 1               , Low              , None             , 2023-08-01 , 2023-09-15 , 45              , Won        
 Intellectual Property  , Menon Innovations   , Choudhary Creations , Medium           , 2               , Medium           , Gupta v. Reddy   , 2023-09-10 , 2023-11-20 , 71              , Lost       
 Real Estate Dispute     , Kapoor Realty       , Reddy Properties    , High             , 3               , High             , Patel v. Singh   , 2023-10-05 , 2023-12-10 , 66              , Lost       
 Business Reports        , Mehta Trends        , Malhotra Analytics  , Medium           , 2               , Medium           , None             , 2023-11-15 , 2023-12-20 , 35              , Won        
 Product Liability       , Nair Gadgets Inc.   , Verma Safety        , Low              , 0               , Low              , Agarwal v. Yadav , 2024-01-01 , 2024-02-15 , 45              , Won        
 Real Estate Dispute     , Deshmukh Developers , Khan Estates        , Medium           , 2               , Medium           , Yadav v. Sharma  , 2024-02-15 , 2024-04-01 , 45              , Won        
 Intellectual Property  , Joshi Innovations   , Kapoor Technologies , High             , 4               , High             , None             , 2024-03-20 , 2024-04-30 , 41              , Won        
 Contractual Dispute     , Menon Corporation   , Mehta Ltd.          , High             , 0               , Medium           , None             , 2024-04-25 , 2024-06-10 , 46              , Lost       
 Business Reports        , Gupta Strategies    , Agarwal Analytics   , Low              , 1               , Low              , None             , 2024-06-01 , 2024-07-15 , 44              , Won        
 Real Estate Dispute     , Khan Homes Inc.     , Chauhan Properties  , Medium           , 2               , Medium           , Mehra v. Singh  , 2024-07-10 , 2024-08-20 , 41              , Won        
 Product Liability       , Raj Products Ltd.   , Consumer Care Inc.  , Low              , 0               , Low              , None             , 2024-08-15 , 2024-09-30 , 46              , Won        
 Intellectual Property  , Desai Designs       , Verma Innovations   , High             , 4               , High             , None             , 2024-09-20 , 2024-11-05 , 46              , Lost       
 Contractual Dispute     , Kapoor Enterprises  , Patel Holdings      , Medium           , 2               , Medium           , None             , 2024-10-25 , 2024-12-10 , 46              , Lost       
 Real Estate Dispute     , Chauhan Developers  , Deshmukh Estates    , High             , 3               , High             , Tiwari v. Yadav  , 2024-11-30 , 2025-02-15 , 78              , Won        
 Business Reports        , Joshi Insights      , Nair Analytics      , Low              , 1               , Low              , None             , 2025-01-05 , 2025-02-20 , 46              , Won        
 Product Liability       , Desai Devices Inc.  , Safety Solutions Co., Medium           , 2               , Medium           , Mehra v. Lee    , 2025-02-10 , 2025-03-25 , 43              , Lost       
 Intellectual Property  , Choudhary Creations , Innovate India      , High             , 4               , High             , Gupta v. Kumar  , 2025-03-20 , 2025-05-05 , 47              , Won        
 Contractual Dispute     , Mehta Ltd.          , Kapoor Corp.        , Low              , 1               , Low              , None             , 2025-04-25 , 2025-06-10 , 46              , Won        
 Business Reports        , Kapoor Trends       , Gupta Analytics    , High             , 3               , High             , Singh v. Lee     , 2025-05-30 , 2025-07-15 , 46              , Lost       
 Real Estate Dispute     , Menon Properties    , Khan Estates        , Medium           , 2               , Medium           , Mehra v. Singh  , 2025-07-05 , 2025-08-20 , 46              , Won        
 Contractual Dispute     , Sharma Holdings      , Patel Constructions  , High             , 2               , Medium           , None             , 2023-08-01 , 2023-09-15 , 45              , Won        
 Intellectual Property  , Kapoor Innovations   , Singh Creations      , Medium           , 3               , High             , Gupta v. Reddy   , 2023-09-10 , 2023-11-20 , 71              , Lost       
 Real Estate Dispute     , Patel Realty         , Khan Properties      , High             , 3               , Low              , Patel v. Singh   , 2023-10-05 , 2023-12-10 , 66              , Lost       
 Business Reports        , Mehta Trends         , Malhotra Analytics   , Medium           , 2               , Medium           , None             , 2023-11-15 , 2023-12-20 , 35              , Won        
 Product Liability       , Nair Gadgets Inc.    , Verma Safety         , Low              , 0               , Low              , Agarwal v. Yadav , 2024-01-01 , 2024-02-15 , 45              , Won        
 Real Estate Dispute     , Deshmukh Developers  , Khan Estates         , Medium           , 2               , Medium           , Yadav v. Sharma  , 2024-02-15 , 2024-04-01 , 45              , Won        
 Intellectual Property  , Joshi Innovations    , Kapoor Technologies  , High             , 4               , High             , None             , 2024-03-20 , 2024-04-30 , 41              , Won        
 Contractual Dispute     , Menon Corporation    , Mehta Ltd.           , High             , 0               , Medium           , None             , 2024-04-25 , 2024-06-10 , 46              , Lost       
 Business Reports        , Gupta Strategies     , Agarwal Analytics    , Low              , 1               , Low              , None             , 2024-06-01 , 2024-07-15 , 44              , Won        
 Real Estate Dispute     , Khan Homes Inc.      , Chauhan Properties   , Medium           , 2               , Medium           , Mehra v. Singh  , 2024-07-10 , 2024-08-20 , 41              , Won        
 Product Liability       , Raj Products Ltd.    , Consumer Care Inc.   , Low              , 0               , Low              , None             , 2024-08-15 , 2024-09-30 , 46              , Won        
 Intellectual Property  , Desai Designs        , Verma Innovations    , High             , 4               , High             , None             , 2024-09-20 , 2024-11-05 , 46              , Lost       
 Contractual Dispute     , Kapoor Enterprises   , Patel Holdings       , Medium           , 2               , Medium           , None             , 2024-10-25 , 2024-12-10 , 46              , Lost       
 Real Estate Dispute     , Chauhan Developers   , Deshmukh Estates     , High             , 3               , High             , Tiwari v. Yadav  , 2024-11-30 , 2025-02-15 , 78              , Won        
 Business Reports        , Joshi Insights       , Nair Analytics       , Low              , 1               , Low              , None             , 2025-01-05 , 2025-02-20 , 46              , Won        
 Product Liability       , Desai Devices Inc.   , Safety Solutions Co. , Medium           , 2               , Medium           , Mehra v. Lee    , 2025-02-10 , 2025-03-25 , 43              , Lost       
 Intellectual Property  , Choudhary Creations  , Innovate India       , High             , 4               , High             , Gupta v. Kumar  , 2025-03-20 , 2025-05-05 , 47              , Won        
 Contractual Dispute     , Mehta Ltd.           , Kapoor Corp.         , Low              , 1               , Low              , None             , 2025-04-25 , 2025-06-10 , 46              , Won        
 Business Reports        , Kapoor Trends        , Gupta Analytics     , High             , 3               , High             , Singh v. Lee     , 2025-05-30 , 2025-07-15 , 46              , Lost       
 Real Estate Dispute     , Johnson Realty     , Green Estates      , High             , 4               , Low              , Johnson v. Smith , 2023-03-05 , 2023-06-30 , 117             , Won        
